,Zeitstempel,I use the following databases for my scientific illustrations:,Regarding BioIcons,Is it easy to use the current BioIcons website?,"If you know about BioIcons, have you ever submitted or thought about submitting illustrations using the webform or via PullRequest?",I use the following tools to draw scientific illustrations or to assemble icons from BioIcons in illustrations,Which proposed features do you think are most useful to you: [Extension of the icon catalog based on community requests],Which proposed features do you think are most useful to you: [Collaborative web editor],Which proposed features do you think are most useful to you: [Templating mechanism to share graphics created using BioIcons for others to reuse],Which proposed features do you think are most useful to you: [Workshops on illustration licensing and creating illustrations using BioIcons],Country,Position
0,26.02.2024 15:27:53,"BioIcons, BioRender, Reactome, Open ClipArt, some other local drawings",I want to use it but the catalog is too limited.,Have never used it.,"No, but I plan to submit illustrations.",scan draw and illustrate it,,,,,China,PhD student
1,20.03.2024 15:24:36,,I want to use it but the catalog is too limited.,Have never used it.,"No, because I do not want to share my illustrations.",Microsoft PowerPoint,High priority,Nice to have,High priority,Nice to have,,PhD student
2,30.10.2024 15:31:17,"Wikimedia Commons, FreePik",Haven't used it yet but will do so in the future,Have never used it.,"No, because I did not know that I can do that.",na,High priority,High priority,High priority,High priority,Industry,Consultant
3,31.03.2024 16:20:30,BioRender,Haven't used it yet but will do so in the future,Have never used it.,"No, because I did not know that I can do that.",Adobe Illustrator,High priority,Nice to have,Nice to have,Low priority,USA,Professor
4,02.10.2024 06:03:28,"BioIcons, Open ClipArt, Wikimedia Commons",I want to use it but the catalog is too limited.,Have never used it.,"No, because I did not know that I can do that.","Inkscape, LibreOffice Draw, KDE Krita, ",Low priority,Unnecessary,Low priority,Low priority,Industry,
5,16.04.2024 07:35:02,BioRender,I do not use it because I don't need to create illustrations for my work.,Have never used it.,"No, because I did not know that I can do that.","BioRender WebEditor, Microsoft PowerPoint",,,,,France,PostDoc
6,24.10.2024 16:03:18,Wikimedia Commons,I do not use it because I don't need to create illustrations for my work.,Have never used it.,"No, because I did not know that I can do that.",Microsoft PowerPoint,High priority,Unnecessary,Low priority,High priority,UK,Science Technician
7,16.04.2024 03:02:49,BioRender,I do not use it because my university/lab has a premium subscription to Biorender or MindTheGraph.,Have never used it.,"No, because I did not know that I can do that.",,High priority,High priority,Nice to have,Low priority,USA,PhD student
8,22.04.2024 15:18:16,BioRender,I do not use it because my university/lab has a premium subscription to Biorender or MindTheGraph.,Have never used it.,"No, because I did not know that I can do that.",BioRender WebEditor,Nice to have,Nice to have,Nice to have,Nice to have,Switzerland,permanent academic staff
9,12.09.2023 20:04:55,"BioRender, flaticon",Haven't used it yet but will do so in the future,Have never used it.,"No, because I did not know that I can do that.",Adobe Illustrator,High priority,Low priority,Nice to have,Nice to have,USA,PhD student
10,09.12.2023 16:18:44,,"I use it for my illustrations, and the catalog is already big enough for me.",Have never used it.,"No, because I did not know that I can do that.",Microsoft PowerPoint,Nice to have,Low priority,Nice to have,Nice to have,Brazil,Undergraduate
11,30.03.2024 17:20:17,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Have never used it.,"No, because I did not know that I can do that.",Adobe Illustrator,High priority,Low priority,Nice to have,Nice to have,,PhD student
