Tool,Count
Microsoft PowerPoint,335
Inkscape,280
Adobe Illustrator,216
BioRender WebEditor,126
Affinity Designer,20
GIMP,6
Google Slides,5
Keynote,4
Canva,3
Adobe Photoshop,3
Corel Draw,2
draw.io,2
Blender,2
KDE Krita,2
LibreOffice Impress,2
Microsoft Visio,2
scan draw and illustrate it,1
na,1
latex,1
Origin pro,1
beamer,1
Vectornator,1
Photoshop,1
Paint 3D,1
Adobe Substance 3D Modeller,1
Only Office,1
LibreOffice Draw,1
Affinity Design,1
Adobe Medium,1
Gravity Sketch,1
Google Draw,1
Figma,1
Draw.io,1
Chemdraw,1
tikz,1
